질병명,주요증상
고양이 허혈 뇌병증 (Feline ischemic encephalopathy)," 거리감각불능 , 거리감각 과대 및 과소 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 동공부동 | 머리 기울기 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 선회운동 | 실명 , 시력상실 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 흥분 , 헛소리 , 광분 |"
"고양이 하부 비뇨계 질병,사이질 방광염,비뇨기과 증후군(Feline lower urinary tract disease, interstitial cystitis, urologic syndrome)"," 구토 | 단백뇨 | 당뇨 | 모세혈관 재충만 시간 지연 | 무기력 , 침울 , 졸림 , 생기없음 | 방광 염발음 | 방광 종대 , 확장 | 방광의 결석 , 종창 , 종괴 촉진 | 배뇨곤란 | 복강 외부 압박에 따른 통증 | 복강내부 종괴 , 종창 , 유착 | 부정맥 , 불규칙한 심박 및 맥박 | 빈뇨 | 성욕 , 발기 부전 | 수컷 불임 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 이급후증 , 배변곤란 | 저체온증, 낮은체온 | 적색뇨 , 갈색뇨 | 점막 , 피부 창백 , 빈혈 | 탈수 | 피(P)파 결손 | 핍뇨 , 무뇨증 , 요 정체 | 혈뇨 | 호흡시 이상한 냄새 , 구강의 악취 | 혼수 , 혼미 |"
고양이 이염색백색질장애 (Feline metachromatic leukodystrophy)," 거리감각불능 , 거리감각 과대 및 과소 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 실명 , 시력상실 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 진전 | 후궁반장 |"
고양이 좁쌀피부염 (Feline miliary dermatitis)," 비정상적 또는 공격적 행동 , 습성이 바뀜 | 소양감 , 가려움 | 지각과민 , 예민함 , 과다운동 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |"
"고양이 단핵세포 에를리키아 감염증 (Feline monocytic ehrlichiosis, ehrlichia in cats)"," 간 , 비장 종대 , 비장종대 , 간종대 | 거친 피모 , 곤두선 털 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빈맥 , 빠른 맥박 , 심박 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 전신파행 , 경직 , 절름발이 | 점막 , 피부 창백 , 빈혈 | 점상 또는 반상출혈 , 타박상 | 진전 | 체중감소 | 탈수 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 |"
고양이 파보바이러스로 인한 범백혈구 감소증 (Feline parvovirus (feline panleukopenia)),"거친 피모 , 곤두선 털 | 과도한 침흘림 , 유연 , 입에 거품 | 구강점막의 궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 구토 | 귀의 화농성 , 점액양 분비물 , 귓밥이 많음 , 악취 | 급사 , 돌연사 | 기립불능 , 다우너  | 다음 , 많이 마심 , 지나친 갈증 | 망막 색소침착 이상 | 망막반사 이상 | 무기력 , 침울 , 졸림 , 생기없음 | 미이라 , 태자 미이라화 | 발열 , 고열 | 복강 외부 압박에 따른 통증 | 복강내부 종괴 , 종창 , 유착 | 빈맥 , 빠른 맥박 , 심박 | 설사 , 하리 | 소리 계속 지르기 , 소리가 커짐 | 수척 , 건강상태 불량 , 증체율 불량 | 시신경 위축 , 크기감소 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 유산 , 허약한 새끼 분만 , 사산 | 저체온증 , 낮은체온 | 전방축농 , 안구전방에 지질이나 섬유소 축적 | 전신허약 , 부전마비 , 마비 | 점막 , 피부 창백 , 빈혈 | 제3안검 탈출 , 순막의 돌출 | 체중감소 | 탈수 | 피부 괴사 , 가피 , 괴저 | 피부 , 귀 , 다리 냉감 | 혈변 | 혼수 , 혼미 | 황달 |"
"자궁속 파보바이러스감염으로 인한 범백혈구감소증 (Feline parvovirus, panleukopenia, in utero)"," 거리감각불능 , 거리감각 과대 및 과소 | 망막 색소침착 이상 | 망막반사 이상 | 망막주름 , 융기 | 실명 , 시력상실 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 위협반사반응에 무반응 또는 감소 , 실명은 아님 | 진전 |"
고양이 뼈막 증식성 다발관절염 (Feline periosteal proliferative polyarthritis)," 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발통증 | 이동거부 | 전신파행 , 경직 , 절름발이 |"
고양이 회색질 뇌척수염 (Feline polioencephalomyelitis)," 거리감각불능 , 거리감각 과대 및 과소 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 위축 , 야윔 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비정상적 또는 공격적 행동, 습성이 바뀜 | 비정상적인 자세 | 빛에 대한 동공의 비정상 반응 | 앞다리 반사 이상(증가나 감소) | 앞다리 위축, 야윔 | 앞다리 허약 , 무기력 , 부전마비 , 마비 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 지각과민 , 예민함 , 과다운동 | 진전 |"
"고양이 다발근육염, 다발근육병증 (Feline polymyositis-polymyopathy)"," 기립불능 , 다우너 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 무기력 , 후지마비 , 부전마비 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 위축 , 야윔 | 뒷다리 통증 | 등부위 위축 , 야윔 | 목 무기력 , 부전마비 , 마비 , 목을 못가눔 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 사지마비 , 무기력 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 위축 , 야윔 | 앞다리 통증 | 앞다리 허약 , 무기력 , 부전마비 , 마비 | 연하곤란 , 연하장애 | 요통 , 허리 통증 | 운동기피 , 쉽게 지침 | 이동거부 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 척추후만증 , 아치형 척추 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 |"
"고양이 폭스바이러스, 우두바이러스, 오소폭스바이러스 감염 (Feline poxvirus infection, cowpox, orthopoxvirus in cats)"," 결막 , 공막 부종 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈의 화농성 분비물 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빈맥 , 빠른 맥박 , 심박 | 상부기도의 비정상 호흡음 , 코고는 소리 | 설사 , 하리 | 소양감 , 가려움 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 점액양 비강 분비물 , 장액성 , 수양성 | 체중감소 | 출혈 , 응고부전 | 탈모 , 무모증 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 피부 괴사 , 가피 , 괴저 | 피부 구진 | 피부 농포 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 수포 , 대수포 , 물집 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부 플라크(반) | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 화농성 비강 분비물 | 황달 |"
"고양이 진행성 담관염, 담관간염 (Feline progressive lympyocytic cholangitis, cholangiohepatitis)"," 간 , 비장 종대 , 비장종대 , 간종대 | 거친 피모 , 곤두선 털 | 구토 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발육정지 , 체중증가없음 , 성장지연 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 복부팽만 | 복수 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 피부 부종 | 황달 |"
고양이 레오바이러스 감염 (Feline reovirus infection)," 결막 , 공막 부종 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈부심 , 수명 | 눈의 화농성 분비물 | 설사 , 하리 | 점액양 비강 분비물 , 장액성 , 수양성 | 화농성 비강 분비물 |"
"고양이 제한 심장근육병증, 심내막심장근육 섬유화 (Feline restrictive cardiomyopathy, endomyocardial fibrosis)"," 각차단 , 좌각차단 , 우각차단 , 양각차단 | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 급사 , 돌연사 | 기립불능 , 다우너 | 기침 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 지각감퇴 , 뒷다리 무감각증 | 뒷다리 통증 | 뒷발 통증 | 모세혈관 재충만 시간 지연 | 무기력 , 침울 , 졸림 , 생기없음 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 배뇨곤란 | 복부팽만 | 복수 | 부정맥 , 불규칙한 심박 및 맥박 | 분마율동 , 분마성 리듬 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적인 자세 | 빈맥 , 빠른 맥박 , 심박 | 서맥 , 느린 심박동이나 맥박 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심방 세동 | 심방확장 , 좌 , 우 , 혹은 양쪽 | 심실 기외 수축 , 다발성 혹은 단발성 | 심음의 감소 | 심잡음 | 앞다리 반사 이상(증가나 감소) | 앞다리 지각감퇴 , 무감각 | 앞다리 통증 | 앞다리 허약 , 무기력 , 부전마비 , 마비 | 앞발 통증 | 약맥 , 소맥 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이급후증 , 배변곤란 | 저체온증 , 낮은체온 | 전신허약 , 부전마비 , 마비 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 폐포음 감소 , 호흡음이 없음 | 피(P)파 결손 | 피부 , 귀 , 다리 냉감 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 |"
고양이 로타 바이러스감염 (Feline rotavirus infection)," 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 설사 , 하리 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 탈수 |"
고양이 지루 (Feline seborrhea)," 지루성 피부 , 털 , 깃털 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 피부 인설 , 비듬 , 비늘 | 피부의 악취 , 냄새 |"
"고양이 일광피부염, 광피부염 (Feline solar dermatitis, photodermatitis)"," 귀 긁기 | 머리 흔들기 | 머리 , 얼굴 , 턱 , 귀의 통증 | 소양감 , 가려움 | 탈모 , 무모증 | 피부 괴사 , 가피 , 괴저 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |"
"고양이 해면뇌병증 (Feline spongiform encephalopathy, fse)"," 거리감각불능 , 거리감각 과대 및 과소 | 거친 피모 , 곤두선 털 | 과도한 침흘림 , 유연 , 입에 거품 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 떨림 , 전율 , 오한 | 머리 기울기 | 머리 박치기 | 무기력 , 침울 , 졸림 , 생기없음 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 방향 감각 상실 , 기억 상실 | 배변량 감소 , 변비 , 배변 안됨 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 선회운동 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이빨을 감 , 이갈이 | 지각과민 , 예민함 , 과다운동 | 진전 | 피하 지방 조직층 반사 이상(증가나 감소) "
"고양이 피하 농양 , 연조직염 (Feline subcutaneous abscess, cellulitis)"," 골반 및 회음부의 종창 , 종괴 | 구강 통증 , 구강점막 및 혀의 통증 | 기립불능 , 다우너 | 꼬리 , 항문 , 회음부 , 통증 | 꼬리의 종창 , 종괴 | 뒷다리 및 골반부 , 염발음 , 후지 골반 마찰음 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 등 , 흉부 , 염발음 , 가슴 늑골부 마찰음 | 등부위 부어오름 , 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 머리 , 목의 염발음 , 마찰음 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 턱 , 귀의 통증 | 목 부위 종창 , 경부의 종괴 | 목 , 경부 , 목구멍 통증 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 염발음 , 앞다리 마찰음 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 앞발 , 발가락 종창 , 종괴 | 요통 , 허리 통증 | 지각과민 , 예민함 , 과다운동 | 탈모 , 무모증 | 탈수 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 통증 | 피부의 궤양 , 미란 , 찰과상 | 피부의 화농성 분비물 | 피부홍반 , 염증 , 발적 | 피하 염발음 , 피하기종 | 흉부 , 흉곽 , 늑골 , 흉골의 통증 |"
"고양이 생식비뇨 형성이상 , 요도형성저하증으로 인한 비뇨실금(Feline urinary incontinence, genitourinary dysplasia, urethral hypoplasia)","과도한 침흘림 , 유연 , 입에 거품 | 구토 | 다음 , 많이 마심 , 지나친 갈증 | 동공부동 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 암컷의 불임증 , 저 수태 | 요실금 | 유산 , 허약한 새끼 분만 , 사산 | 제3안검 탈출 , 순막의 돌출 | 체중감소 | 탈모 , 무모증 |"
"고양이 허피스 바이러스-1로 인한 바이러스성 코기관염(Feline viral rhinotracheitis, feline herpesvirus-1)","각막 색소침착 이상 | 각막의 궤양 , 미란 | 각막의 부종 , 혼탁 | 각막혈관신생 , 판누스 | 결막 , 공막 부종 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 과도한 침흘림 , 유연 , 입에 거품 | 구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 절창 | 급사 , 돌연사 | 기침 | 눈물이 적음 , 안구건조증 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈부심 , 수명 | 눈의 통증 , 안통 | 눈의 화농성 분비물 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비출혈 , 코피 | 산동 , 확장된 동공 | 상부기도의 비정상 호흡음 , 코고는 소리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안검연축 , 경련 | 유산 , 허약한 새끼 분만 , 사산 | 인두의 홍반 , 발적 | 재채기 | 전신허약 , 부전마비 , 마비 | 점액양 비강 분비물 , 장액성 , 수양성 | 제3안검 탈출 , 순막의 돌출 | 체중감소 | 축동 , 동공축소 | 탈모 , 무모증 | 탈수 | 피부 수포 , 대수포 , 물집 | 피부 인설 , 비듬 , 비늘 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 화농성 비강 분비물 | 후두 , 기관 , 인두의 종창 , 종괴 |"
대퇴목 뼈몸통끝 뼈병증 (Femoral neck  metaphyseal osteopathy in cats)," 골반 , 둔부 통증 | 골반위축 , 둔부위축 , 야윔 | 뒷다리 파행 , 경직 , 절름발이 | 이동거부 |"
"대퇴신경 마비 (Femoral nerve paresis, paralysis)"," 뒷다리 무기력 , 후지마비 , 부전마비 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 위축 , 야윔 | 뒷다리 지각감퇴 , 뒷다리 무감각증 | 뒷다리 파행 , 경직, 절름발이 |"
"펜발러레이트/n,n-디에틸-m- 톨루아마이드 중독증(Fenvalerate/n,n-diethyl-m-toluamide (deet) toxicity in cats)"," 거리감각불능 , 거리감각 과대 및 과소 | 과도한 침흘림 , 유연 , 입에 거품 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 떨림 , 전율 , 오한 | 무기력 , 침울 , 졸림 , 생기없음 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 방향 감각 상실 , 기억 상실 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 서맥 , 느린 심박동이나 맥박 | 소리 계속 지르기 , 소리가 커짐 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 저체온증 , 낮은체온 | 지각과민 , 예민함 , 과다운동 | 진전 | 축동 , 동공축소 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 후궁반장 | 흥분 , 헛소리 , 광분 |"
"태아 미이라화, 짓무름(Fetal mummification, maceration, in cats and dogs)"," 무기력 | 미이라 , 태자 미이라화 | 발열 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 식욕부진 | 외음부 , 질의 악취냄새 , 분비물 | 외음부 , 질의 화농성 분비물 | 유산 , 허약한 새끼 분만 | 자궁 , 자궁경부의 화농성 , 점액양 분비물 | 자궁 , 질 , 자궁경부의 염발음 |"
"손허리손가락 또는 발허리발가락관절 탈구, 전위(Fetlock, metacarpophalangeal or metatarsophalangeal joint luxation, dislocation)"," 뒷다리 만곡 | 뒷다리 종창 | 뒷다리 통증 | 뒷다리 파행 | 뒷다리뼈 노출 | 앞다리 만곡 | 앞다리 종창 | 앞다리 통증 |앞다리 파행 | 앞다리뼈 노출 | 전신파행, 경직 |"
"골화섬유형성이상, 골화근육염(Fibrodysplasia ossificans, myositis ossificans in dogs, cats and pigs)"," 거리감각불능 | 경직 | 골반, 둔부 통증 | 기립불능 | 다호흡 |뒷다리 종창 | 뒷다리 통증 |뒷다리 파행 | 뒷다리관절 운동성 감소 | 뒷다리만곡 | 뒷발 통증 | 뒷발종창 | 등부위 부어오름 | 림프절 종대 | 목 부위 종창 | 복강 외부 종창, 종괴 | 부전마비 | 사지마비 | 앞다리 만곡 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 | 앞다리관절 운동성 감소 | 앞발 종창 | 앞발 통증 | 요통 , 허리 통증 | 이동거부 | 전신파행 | 전신허약 | 피부 또는 피하의 종창 | 호흡곤란 | 흉부 종창 "
섬유종 (Fibromas in dogs and cats)," 뒷다리 종창 | 머리, 얼굴, 귀, 턱, 코의 종창 | 복강 외부 종창, 종괴 | 앞다리 종창 | 피부 또는 피하의 종창 "
섬유육종(Fibrosarcomas in dogs and cats)," 거친 피모 | 건강상태 불량 | 과도한 침흘림 | 구강 , 혀의 종창 | 다호흡 | 뒷다리 종창 | 뒷다리 통증 | 뒷다리 파행 | 뒷발종창 | 등부위 부어오름 | 머리, 얼굴, 귀, 턱, 코의 종창 | 목 부위 종창 | 무기력 | 발열 | 복강 외부 종창, 종괴 | 비정상의 폐포음 | 수척 | 식욕부진 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 | 앞발 종창 | 전신파행, 경직 | 증체율 불량 | 창백 | 체중감소 | 피부 또는 피하의 종창 | 피부의 궤양 | 호흡곤란 | 호흡시 이상한 냄새 | 흉부 종창 | "
"섬유화 골화근육병증(Fibrotic and ossifying myopathy in horses, dogs, and cats)", 뒷다리 경련 | 뒷다리 무기력 | 뒷다리 종창 | 뒷다리 파행 |
"피부섬유종, 결절 육아종 공막각막염, 공막염(Fibrous histiocytoma, nodular granulomatous episclerokeratitis, episcleritis)"," 각막의 부종 | 각막의 종창, 종괴, 결절 | 대안구증 | 뒷다리 종창 | 뒷발종창 | 등부위 부어오름 | 망막 박리 | 머리, 얼굴, 귀, 턱, 코의 종창 | 복강 외부 종창, 종괴 | 안와, 안와주위 | 결막 부종 | 앞다리 종창 | 앞발 종창 | 전방축농, 안구전방에 지질이나 섬유소 축적 | 탈모 | 피부 또는 피하의 종창 | 흉부 종창 |"
"종아리, 신경불완전마비, 마비 (Fibular, peroneal, nerve paresis, paralysis)", 거리감각불능 | 뒷다리 반사 이상 | 뒷다리 지각감퇴 | 뒷다리 파행 | 비정상적인 자세 | 운동실조 |
벼룩깃 피부염(Flea collar dermatitis in dogs and cats)," 과각화증 | 탈모 | 피부 부종 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 가피 | 피부의 궤양 | 피부의 화농성 분비물 | 피부홍반 |"
"벼룩감염, 벼룩물림(Flea infestation, pulicosis, in dogs and cats, fleas)"," 과각화증 | 머리 흔들기 | 무기력 | 빈맥 | 소양감 | 식욕부진 | 전신허약 | 창백 | 탈모 | 피부 구진 | 피부 균열 | 피부 농포 | 피부 색소 과잉 침착 | 피부 인설 | 피부 통증 | 피부 팽진 | 피부, 털, 깃털에 기생충 | 피부의 가피 | 피부의 궤양 | 피부홍반 |"
Flufenamic acid 독성(Flufenamic acid toxicity in cats)," 거리감각불능 | 구토 | 기립불능 | 무기력 | 부전마비 | 사지마비 | 설사 , 하리 | 식욕부진 |  운동실조 | 전신허약 | 지각과민 | 혼수 | 흥분 | "
소포 결막염(Follicular conjunctivitis in dogs and cats)," 결막 , 공막 충혈 | 결막 , 공막의 발적 | 순막샘의 종대 | 안구건조증 , 눈의 화농성 분비물 |"
"발바닥, 손톱, 외상, 궤양 (Foot pad, nail, trauma, ulcer, in dogs and cats)"," 경직 | 뒷다리 파행 | 뒷발 통증 | 뒷발종창 | 발톱 , 갈퀴 , 발굽의 갈라짐 | 발톱 , 갈퀴 , 발굽의 괴저편 | 발톱 , 갈퀴 , 발굽의 농양 | 발톱 , 갈퀴 , 발굽의 열감 | 손톱 , 발톱 , 발굽 , 갈퀴의 이물 | 앞다리 파행 | 앞발 종창 | 앞발 통증 | 전신파행 | 피부 괴사 | 피부 수포 | 피부 통증 | 피부의 가피 | 피부의 궤양 | 피부의 열감 | 피부의 열상 | 피부의 화농성 분비물 | 피부홍반 |"
골절 질환(Fracture disease in dogs and cats)," 골반위축 | 뒷다리 위축 | 뒷다리 통증 | 뒷다리 파행 | 뒷다리가 상대적으로 짧음 | 뒷다리관절 운동성 감소 | 앞다리 위축 | 앞다리 통증 | 앞다리 파행 | 앞다리가 상대적으로 짧음 | 앞다리관절 운동성 감소 | 전신파행 , 경직 |"
긴뼈의 골절(Fracture of a long bone)," 기립불능 | 뒷다리 만곡 | 뒷다리 및 골반부 | 뒷다리 종창 | 뒷다리 통증 | 뒷다리 파행 | 뒷다리가 상대적으로 짧음 | 뒷다리뼈 노출 | 무기력 | 앞다리 만곡 | 앞다리 염발음 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 | 앞다리가 상대적으로 짧음 | 앞다리뼈 노출 | 약맥 |  염발음 | 이동거부 | 탈구 , 뒷다리 비관절부 운동장애 | 탈구 , 앞다리 비관절부 운동장애 |피부 냉감 |"
"하악골과 상악골, 턱의 골절 (Fracture of the mandible and maxilla, jaw)"," 갈증이 줄어듬 , 갈증이 없음 | 개구장애 , 개구곤란 | 과도한 침흘림 | 구강 , 혀의 종창 | 머리 , 목관절의 이완 , 탈구 | 머리 , 목의 염발음 , 마찰음 | 머리 , 얼굴 뼈노출 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 | 무기력 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 연하곤란 | 이빨의 결손 | 이빨의 교합부전 | 저작곤란 , 잘 씹지 못함 | 체중감소 | 호흡시 이상한 냄새 |"
팔꿈치머리의 골절 (Fracture of the olecranon), 앞다리 염발음 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 |
천골의 골절(fracture of the sacrum)," 골반 및 회음부의 종창 | 골반 , 둔부 통증 | 꼬리 무기력 | 꼬리 , 항문 지각감퇴 | 꼬리 , 항문 , 회음부 , 통증 | 뒷다리 및 골반부 , 염발음 | 뒷다리 지각감퇴 | 뒷다리 파행 | 배뇨곤란 | 배변량 감소 , 변비 , 배변 안됨 | 분변 실금 | 비정상적인 자세 | 요실금 | 요통 , 허리 통증 | 핍뇨 , 무뇨증 | 항문 , 회음부 , 꼬리 반사 이상 |"
견겹골 또는 어깨 관절의 골절 (Fracture of the scapula or shoulder joint), 앞다리 염발음 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 | 앞다리뼈 노출 | 피부의 열감 |
"찢김, 대퇴경골 관절, 무릎의 골절 (fracture, avulsion, of the femoro-tibial joint, stifle)"," 뒷다리 만곡 | 뒷다리 및 골반부 , 염발음 | 뒷다리 종창 | 뒷다리 통증 | 뒷다리 파행 | 뒷다리관절 운동성 감소 | 뒷다리뼈 노출 | 피부의 열감 |"
